id,data_criacao,par,setup,score,preco_entrada,stop,alvo,rr_ratio,status,data_encerramento,preco_final,resultado,roi_pct,duracao_horas,observacoes
20251025_230847_531484,2025-10-25T23:08:47.531726,BTC/USDT,🔹 SETUP LEVE,7.00,111560.90000000,111178.60000000,112357.35000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251025_230850_318034,2025-10-25T23:08:50.318276,ETH/USDT,🔹 SETUP LEVE,7.00,3928.28000000,3897.94000000,3988.97000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251028_113625_208283,2025-10-28T11:36:25.208509,ETH/USDT,🔥 SETUP ALTA CONFLUÊNCIA,7.30,4138.68000000,4088.35000000,4239.33000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251031_031951_754734,2025-10-31T03:19:51.754963,BTC/USDT,🔹 SETUP LEVE,7.30,109688.00000000,108653.93000000,111842.31000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251031_054429_666299,2025-10-31T05:44:29.666366,ETH/USDT,🔹 SETUP LEVE,7.30,3839.46000000,3781.52000000,3955.33000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251101_141001_195481,2025-11-01T14:10:01.195718,ETH/USDT,🔹 SETUP LEVE,7.00,3880.06000000,3846.13000000,3947.92000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251101_191101_518429,2025-11-01T19:11:01.518660,BTC/USDT,🎪 BOLLINGER SQUEEZE,8.50,110015.90000000,109550.83000000,110984.80000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251102_204736_067743,2025-11-02T20:47:36.067988,ETH/USDT,🚀 SETUP ROMPIMENTO,7.30,3905.02000000,3870.23000000,3974.60000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251105_105451_425941,2025-11-05T10:54:51.426162,ETH/USDT,🔥 SETUP ALTA CONFLUÊNCIA,7.30,3371.76000000,3286.45000000,3542.37000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251105_161121_810001,2025-11-05T16:11:21.810261,BTC/USDT,🔹 SETUP LEVE,7.30,104144.40000000,103053.74000000,106416.61000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251107_044816_457917,2025-11-07T04:48:16.458139,BTC/USDT,🔹 SETUP LEVE,7.30,101912.30000000,100996.52000000,103820.17000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251107_064820_854286,2025-11-07T06:48:20.854542,ETH/USDT,🔥 SETUP ALTA CONFLUÊNCIA,7.30,3295.94000000,3234.29000000,3419.25000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251108_113956_441789,2025-11-08T11:39:56.442045,BTC/USDT,🎪 BOLLINGER SQUEEZE,8.80,101954.00000000,101199.30000000,103526.30000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251109_051501_198258,2025-11-09T05:15:01.198496,ETH/USDT,🔹 SETUP LEVE,7.30,3421.95000000,3381.22000000,3503.42000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251110_113537_467704,2025-11-10T11:35:37.467926,ETH/USDT,🔹 SETUP LEVE,7.30,3594.23000000,3546.11000000,3690.47000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251111_032032_491526,2025-11-11T03:20:32.491729,BTC/USDT,🔹 SETUP LEVE,7.30,105196.20000000,104296.78000000,107069.98000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251112_081211_980009,2025-11-12T08:12:11.980238,ETH/USDT,🔥 SETUP ALTA CONFLUÊNCIA,7.30,3564.34000000,3511.31000000,3670.40000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251112_092635_163930,2025-11-12T09:26:35.164150,BTC/USDT,🔹 SETUP LEVE,7.30,105149.10000000,104436.79000000,106633.07000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251114_203904_887415,2025-11-14T20:39:04.887674,ETH/USDT,🔥 SETUP ALTA CONFLUÊNCIA,7.30,3120.14000000,3023.29000000,3313.85000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251116_061234_942400,2025-11-16T06:12:34.942625,BTC/USDT,🔹 SETUP LEVE,7.30,96040.90000000,95442.84000000,97286.86000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251116_084746_129835,2025-11-16T08:47:46.130093,ETH/USDT,🔹 SETUP LEVE,7.30,3170.01000000,3120.75000000,3268.52000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251117_123620_151064,2025-11-17T12:36:20.151280,BTC/USDT,🔹 SETUP LEVE,7.30,94211.30000000,93152.29000000,96417.56000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251118_184814_281341,2025-11-18T18:48:14.281578,BTC/USDT,🔹 SETUP LEVE,7.30,92564.10000000,91523.76000000,94731.48000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251119_100716_235728,2025-11-19T10:07:16.235976,ETH/USDT,🔹 SETUP LEVE,7.30,3090.44000000,3036.09000000,3199.14000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251120_031918_735357,2025-11-20T03:19:18.735631,BTC/USDT,🔹 SETUP LEVE,7.30,92600.10000000,91632.56000000,94615.81000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251122_160943_238863,2025-11-22T16:09:43.239104,BTC/USDT,🔹 SETUP LEVE,7.30,84778.00000000,83906.06000000,86594.53000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251122_194735_864967,2025-11-22T19:47:35.865196,ETH/USDT,🔹 SETUP LEVE,7.30,2767.13000000,2722.84000000,2855.71000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251124_032117_510983,2025-11-24T03:21:17.511203,BTC/USDT,🔹 SETUP LEVE,7.30,87060.50000000,86124.07000000,89011.39000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251124_032120_275408,2025-11-24T03:21:20.275647,ETH/USDT,🔹 SETUP LEVE,7.30,2839.77000000,2785.08000000,2949.16000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251125_092802_377406,2025-11-25T09:28:02.377726,ETH/USDT,🔹 SETUP LEVE,7.30,2920.81000000,2876.20000000,3010.02000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251125_115202_782490,2025-11-25T11:52:02.782709,BTC/USDT,🔹 SETUP LEVE,7.30,86323.20000000,85546.67000000,87940.96000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251126_154538_551536,2025-11-26T15:45:38.551586,ETH/USDT,🔹 SETUP LEVE,7.30,3016.16000000,2964.26000000,3119.95000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251126_181152_656869,2025-11-26T18:11:52.657094,BTC/USDT,🔹 SETUP LEVE,7.30,89873.80000000,89041.48000000,91607.80000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251128_032117_595128,2025-11-28T03:21:17.595384,BTC/USDT,🔹 SETUP LEVE,7.00,91350.60000000,90836.71000000,92421.21000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251128_061418_310246,2025-11-28T06:14:18.310490,ETH/USDT,🔹 SETUP LEVE,7.30,3061.13000000,3025.93000000,3131.53000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251129_111134_188991,2025-11-29T11:11:34.189227,BTC/USDT,🔥 SETUP ALTA CONFLUÊNCIA,7.00,90695.40000000,90257.39000000,91607.93000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251129_144016_371922,2025-11-29T14:40:16.372141,ETH/USDT,🔥 SETUP ALTA CONFLUÊNCIA,7.30,2986.18000000,2954.92000000,3048.70000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
20251130_171417_277542,2025-11-30T17:14:17.277775,BTC/USDT,🔹 SETUP LEVE,7.00,91564.70000000,91134.98000000,92459.94000000,2.08,aberto,,,,,,TF: 1h | Confluência detectada
20251130_204804_290606,2025-11-30T20:48:04.290837,ETH/USDT,🔹 SETUP LEVE,7.30,3001.08000000,2972.73000000,3057.78000000,2.00,aberto,,,,,,TF: 1h | Confluência detectada
